Entity,Code,Day,Don't know,Not very worried,Not worried at all,Very worried,Fairly worried
Post-graduate education,,2022-01-13,6,43,33,4,14
Post-graduate education,,2022-07-14,0,41,38,5,16
Post-graduate education,,2023-01-12,4,44,25,11,15
Post-graduate education,,2023-07-13,2,44,30,4,20
Post-graduate education,,2024-01-11,1,30,43,11,16
Post-graduate education,,2024-07-11,2,42,26,8,22
Post-graduate education,,2025-01-09,3,38,33,12,15
Post-graduate education,,2025-07-10,3,41,21,5,30
Some college,,2021-01-14,5,42,34,6,13
Some college,,2021-07-15,3,47,31,5,15
Some college,,2022-01-13,6,35,31,10,17
Some college,,2022-07-14,6,34,32,9,19
Some college,,2023-01-12,7,39,31,7,15
Some college,,2023-07-13,3,37,39,5,15
Some college,,2024-01-11,5,30,37,11,16
Some college,,2024-07-11,1,27,35,13,24
Some college,,2025-01-09,8,35,27,9,20
Some college,,2025-07-10,6,36,26,12,21
White,,2021-01-14,4,33,44,8,11
White,,2021-07-15,11,32,35,8,14
White,,2022-01-13,6,41,34,4,16
White,,2022-07-14,2,40,35,9,14
White,,2023-01-12,5,35,33,9,18
White,,2023-07-13,3,39,31,6,21
White,,2024-01-11,3,33,34,8,22
White,,2024-07-11,3,36,29,8,23
White,,2025-01-09,5,38,29,8,20
White,,2025-07-10,5,40,27,5,23
